tweet_id,user,created_on,tweet_text,fav_count,user_description,user_verified,user_follower_count,is_retweet,hashtags
1387491720879919108,JeanMcC71980059,2021-04-28 19:39:39,"While the Palestinians are struggling against the coronavirus wave and are unable to vaccinate a reasonable number of people, Israel is widely vaccinated and holding surplus doses, Ronny Linder writes https://t.co/QXzYZVF49q",0,🇨🇦👩‍🦳 #BDS #FreeAssange #FreePress #FREEMUMIA #FreeLeonardPeltier #DefendTheRockies #LTCJustice #PaidSickDaysSaveLives #UniversalBasicIncome #HandsOffMyCPP,False,193,1,[]
1387491720879824898,cruisereviewer,2021-04-28 19:39:39,"Received my second Pfizer dose today so in two weeks I'll have the ""fully vaccinated"" box checked for my #CelebrityMillennium and #AdventureOfTheSeas cruises in June/July  #cruise",0,"Former Marine & Navy nuclear power operator (yes, two military branches). Retired from commercial nuclear power with TVA, and erstwhile travel writer.",False,583,0,[]
1387491720963690498,HamdKais,2021-04-28 19:39:39,"Adityanath’s government ordered to give Uttar Pradesh #Covid19 death data to judicial officers daily

https://t.co/xntWJgpSh8",0,Engineer,False,2,1,['Covid19']
1387491720875683842,TexasQGirl1,2021-04-28 19:39:39,"JUST IN - Vaccine passports are officially outlawed in Florida now, the bill passed 76-40.",0,"Alternative history, rogue Egyptology, archaeoastronomy, sacred geometry, alternative almost everything, anti-establishment",False,873,1,[]
1387491720942612480,raghU_Chirps,2021-04-28 19:39:39,Reliance to Build 1000 Bed Covid Care Facility in Jamnagar to Cater whole Saurashtra Region of Gujarat,0,Inside the cage of BLUE BIRD,False,38,1,[]
1387491720955318273,SaraPadmore,2021-04-28 19:39:39,Today we got @michaelgove announcing about vaccine passports ! If anyone still calls me a conspiracy theorist .. really need to start F waking up !!!!,0,,False,2391,1,[]
1387491721186062341,sparky231163,2021-04-28 19:39:39,Boris Johnson first mooted donors paying Downing Street flat renovation costs last February https://t.co/fhQ3OdOpu5,0,,False,120,1,[]
1387491720858849286,HenryLacey3,2021-04-28 19:39:39,"@BorisJohnson @BBCPolitics @SkyNewsPolitics All of a sudden, electoral commission investigation is launched,Johnson and Teflon Tory buddies want it scrapped. Stinks of “Trumpism” and worse, Putin closing down any opposition. Whats next,send all opposition to a Gulag on Riggs Moor https://t.co/CwJvoUrZn6",0,"Ex British Airways, Ex Army, Ex Coastguard",False,8,0,[]
1387491721433415680,DoctorTobey,2021-04-28 19:39:39,"Last year, the entire world was forced to face the COVID-19 pandemic head on. And now, we – the American people – have the opportunity to achieve peace of mind and live life as free as before by choosing to receive a COVID-19 vaccine. https://t.co/nZoDxgPVVB",0,"Former NYC/LA/Euro art critic & prof, living on Cali's Central Coast. Activist, artist, writer & consultant. Yes to Earth Now eco-activism project 2021 launch",False,383,1,[]
1387491721060261890,ishdeep_kohli,2021-04-28 19:39:39,"#CoronavirusIndia
It didn’t have to be like this...!!
‘This Is a Catastrophe’ In #India
Illness Is Everywhere
Packed political rallies where few
precautions were enforced
Super-spreader events
Many in #India upset with the pace
of the #vaccination campaign
https://t.co/ebTJh8aW2B",0,"Global health, development and media expert Vice-President Programs and Partnerships JSPH School of Public Health | Passionate about #SDGs #BuildBackBetter",False,533,0,"['CoronavirusIndia', 'India']"
1387491721534066690,AlokJai65975914,2021-04-28 19:39:39,"#VaccineForAllCheck | @Sanju_Verma_, National Spokesperson, BJP presents some statistics on COVID vaccine availability in India. | INDIA UPFRONT with Rahul Shivshankar https://t.co/XMzFyx4YFW",0,i am proud Hindu & i am not secular but unfortunately in my nation many stupid so called self intellectual infected  Secular HIV Positive n fool other innocent,False,767,1,['VaccineForAllCheck']
1387491721550913540,kassieraybrown,2021-04-28 19:39:39,"Seattle still has 15,000 vaccine appointments this week! Each dose brings us one step closer to recovery &amp; gives us one more reason to hope. Sign up today, then make sure everyone you know does too https://t.co/pQvk1432qn",0,She/Her. One thing you should know about me: I am not nearly as cool as I think I am.,False,38,1,[]
1387491721622159360,Tania67356445,2021-04-28 19:39:39,@drawolak @steeletalk @thisisourshotca @wick_22 @clarahughes Why do we hear clots with astra Zeneca and not from Pfizer and Moderna ?,0,,False,73,0,[]
1387491721823408132,up_sarvsamaj,2021-04-28 19:39:39,"Arvind Kejriwal visited the ITBP-run Sardar Patel Covid Care Centre in Chhatarpur, which began operations today.

The question is - what is his contribution to it except showing up for a photo-op?

Wouldn’t it have been better had he spent that time shooting for a new ad instead?",0,The Official Twitter Account of the UPSSVM Handle by @farhanAhmad_k RTs are not Endorsements,False,105,1,[]
1387491722100367364,RosemaryKirk,2021-04-28 19:39:39,"*It's almost as if Covid is being used as cover to deliberately trash the economy, introduce a new central bank digital currency, UBI, a biosurveillance culture and Chinese-style social credit management. 

A slave state, in other words.

Retweet if you plan on RESISTING",0,Retweets are Not necessarily endorsements .,False,931,1,[]
1387491722096111616,NasharatM,2021-04-28 19:39:39,"Good of reliance no question about it.

Hope this government had not left us to the mercy of private charity. https://t.co/1Mn8luiuAQ",0,"Secular, Liberal, supports INC, fan of Mahatma Gandhi, @UWCforYouth & @CongressTask
#MyLeaderRahulGandhi",False,1351,1,[]
1387491722238644224,TbHivActivist,2021-04-28 19:39:39,Northern Ireland donate oxygen generators to help India fight Covid https://t.co/R7IaL8H5cm,0,"Passionate Tuberculosis Activism& Frontline Voices|
Global TB/HIV Advocate|Dedicated to fight in Access to quality TB/HIV diagnosis&treatment|EndTB&HIV",False,1511,1,[]
1387491722482102279,Auxaura,2021-04-28 19:39:39,"// covid
-
-
-
-
-
-
the covid situation in india is quite serious rn and if you don't know what's going on please educate yourselves and help in any way you can. this is basically a thread of different threads. (information + ways you can help)",0,Kinda gay very women 🧡🤍💖,False,67,1,[]
1387491722498691072,QueenTatooine,2021-04-28 19:39:39,Northern Ireland donate oxygen generators to help India fight Covid https://t.co/R7IaL8H5cm,0,Hope is something you give yourself... that is the meaning of inner strength ~ ☀️ ~ The bad things don't always spoil the good things or make them unimportant.,False,860,1,[]
